推數,噓數,文章分數,文章作者,文章名稱,發表時間
1,1,0,xxxluke (我手裡拿著小皮鞭),[問卦] 豆導會怎麼拍鬼滅真人版,Wed Oct  7 20:56:43 2020
3,2,1,oscarwu3041 (夢想家的羽毛),[問卦] 辛普森家庭想暗示什麼？,Fri Oct  2 14:25:18 2020
4,6,-2,yolin2012 (yolin),[問卦] 飲料店根本不甩禁用塑膠吸管？,Wed Oct  7 18:22:26 2020
13,5,8,sukiyasuica (suica),[新聞] 驚險！92歲老翁遭水泥車撞捲進車底 差幾,Wed Oct  7 16:12:53 2020
8,1,7,Ericz7000 (♥安潔莉卡正統老公♥),[問卦] 失去雙手的退役軍人可以做什麼工作？,Wed Oct  7 19:41:11 2020
0,3,-3,MintSu (Simon),[問卦] 要怎麼求雨？,Wed Oct  7 18:24:43 2020
2,1,1,qazxc1156892 (QQ),[問卦] 川普的十月驚奇是不是夠驚奇？,Fri Oct  2 13:27:56 2020
4,3,1,takashi01 (中和孔劉),[問卦] 欸欸為何吃火龍果大便會是紅的,Fri Oct  2 11:41:40 2020
1,0,1,LineageM (天堂M),[問卦] 希拉蕊已經準備好了嗎？,Fri Oct  2 13:34:11 2020
0,0,0,semih (Sayginer),[新聞] 桃園砸1950萬元辦萬聖節觀光活動 民代批,Wed Oct  7 21:29:43 2020
3,1,2,nonpolar (Nonpolar),[問卦] 現在郵局物流是不是很閒啊？,Wed Oct  7 16:58:46 2020
6,1,5,teeheehee (軟尾拋拋翔(′・ω・`)),[問卦] 有沒有手很小男生的八卦？,Fri Oct  2 12:04:20 2020
10,6,4,ttfan (),[新聞] 陳廷寵辦台商學校年領6000萬政府補助,Fri Oct  2 11:29:54 2020
4,0,4,dean1990 (狄恩院長),[問卦] 台灣484跟自由行星同盟越來越像惹,Fri Oct  2 12:23:46 2020
4,3,1,aynmeow (我想成為安康魚),[問卦] 我朋友打雪仗害死同事,Wed Oct  7 21:14:56 2020
6,2,4,Mesenne (姆咪姆咪),[問卦] 店家數學不好的八卦？,Fri Oct  2 13:14:21 2020
1,1,0,chamge7788 (經濟王7887),[問卦] 湯底的四種，鄉民覺得哪個最好,Wed Oct  7 20:57:58 2020
0,0,0,zxc7 (OuO),[問卦] 千千跟lulu怎在比賽大胃王 卦,Fri Oct  2 15:39:37 2020
0,0,0,echoo (回聲O),[問卦] 澎湖的街景怎麼能那麼乾淨,Wed Oct  7 21:33:13 2020
19,2,17,jeff785chen (raincat29),[問卦] 到好市多有什麼必買的,Wed Oct  7 17:12:19 2020
12,2,10,TPDC (                 ),[新聞] 疑女友中秋夜跑去跟新歡烤肉 醋男尾隨撂,Fri Oct  2 12:12:57 2020
1,1,0,kone33221 (阿揪),[問卦] 有沒有長大就不挑食的八卦,Wed Oct  7 19:15:06 2020
7,0,7,colorless (colorless),[新聞] 諾貝爾化學獎 2名女學者研究基因編輯共享殊榮,Wed Oct  7 17:58:04 2020
4,0,4,RachelMcAdam (瑞秋賣燈絲),[問卦] 鐵板紅藍州的美國選民在想什麼？,Wed Oct  7 18:11:36 2020
1,0,1,Gorbachev (戈巴契夫頭髮最長!),[問卦] 不管我的靈魂 困在哪個肉身...,Wed Oct  7 18:03:33 2020
24,4,20,k90209 (k90209),[問卦] 南部這樣的內容物 110合理嗎？,Wed Oct  7 19:48:53 2020
